Recipe ID,Title,Source,Cuisine,,
1,5 spice vegetable fried rice,TARLA_DALAL,Indian Subcontinent,0,
2,aachar aaloo,TARLA_DALAL,Indian Subcontinent,0,
3,aadu lassan keri nu athanu,TARLA_DALAL,Indian Subcontinent,0,
4,aaloo kofta,TARLA_DALAL,Indian Subcontinent,0,
5,aaloo tamatar subzi,TARLA_DALAL,Indian Subcontinent,0,
6,aalu dum,TARLA_DALAL,Indian Subcontinent,0,
7,aam aur chane ka achaar,TARLA_DALAL,Indian Subcontinent,0,
8,aam ka achaar,TARLA_DALAL,Indian Subcontinent,0,
9,aam ki launji,TARLA_DALAL,Indian Subcontinent,0,
10,aam lassi slush,TARLA_DALAL,Indian Subcontinent,0,
11,aam panna,TARLA_DALAL,Indian Subcontinent,0,
12,aam pyaj aur lauki ki sabzi,TARLA_DALAL,Indian Subcontinent,0,
13,aam ras ki kadhi,TARLA_DALAL,Indian Subcontinent,0,
14,aamabtvaran,TARLA_DALAL,Indian Subcontinent,0,
15,aanar ka raita,TARLA_DALAL,Indian Subcontinent,0,
16,achaari aloo recipe,TARLA_DALAL,Indian Subcontinent,0,
17,achaari dahi bhindi,TARLA_DALAL,Indian Subcontinent,0,
18,achaari dip,TARLA_DALAL,Indian Subcontinent,0,
19,achari baingan,TARLA_DALAL,Indian Subcontinent,0,
20,achari chana pulao,TARLA_DALAL,Indian Subcontinent,0,
21,achari paneer,TARLA_DALAL,Indian Subcontinent,0,
22,achari paneer pulao,TARLA_DALAL,Indian Subcontinent,0,
23,achari paneer tikkas,TARLA_DALAL,Indian Subcontinent,0,
24,ada,TARLA_DALAL,Indian Subcontinent,0,
25,adai or dal dosa,TARLA_DALAL,Indian Subcontinent,0,
26,adrak ka achar,TARLA_DALAL,Indian Subcontinent,0,
27,adraki mushroom,TARLA_DALAL,Indian Subcontinent,0,
28,afghani paneer,TARLA_DALAL,Indian Subcontinent,0,
29,ajwaini roti,TARLA_DALAL,Indian Subcontinent,0,
30,akbari paneer,TARLA_DALAL,Indian Subcontinent,0,
31,akke roti,TARLA_DALAL,Indian Subcontinent,0,
32,akki rotis,TARLA_DALAL,Indian Subcontinent,0,
33,almond payasam,TARLA_DALAL,Indian Subcontinent,0,
34,aloo amritsari,TARLA_DALAL,Indian Subcontinent,0,
35,aloo anardana kulcha,TARLA_DALAL,Indian Subcontinent,0,
36,aloo antu pulsu,TARLA_DALAL,Indian Subcontinent,0,
37,aloo aur kaddu ki subzi,TARLA_DALAL,Indian Subcontinent,0,
38,aloo aur shakarkand ki chaat,TARLA_DALAL,Indian Subcontinent,0,
39,aloo bahaar,TARLA_DALAL,Indian Subcontinent,0,
40,aloo baingan subzi,TARLA_DALAL,Indian Subcontinent,0,
41,aloo beans subzi,TARLA_DALAL,Indian Subcontinent,0,
42,aloo beetroot paratha,TARLA_DALAL,Indian Subcontinent,0,
43,aloo bhath,TARLA_DALAL,Indian Subcontinent,0,
44,aloo capsicum special,TARLA_DALAL,Indian Subcontinent,0,
45,aloo chaat,TARLA_DALAL,Indian Subcontinent,0,
46,aloo chapati,TARLA_DALAL,Indian Subcontinent,0,
47,aloo curry,TARLA_DALAL,Indian Subcontinent,0,
48,aloo dumwale,TARLA_DALAL,Indian Subcontinent,0,
49,aloo gobhi,TARLA_DALAL,Indian Subcontinent,0,
50,aloo gobi ka pulao,TARLA_DALAL,Indian Subcontinent,0,
51,aloo gobi ke parathe,TARLA_DALAL,Indian Subcontinent,0,
52,aloo gobi methi tuk,TARLA_DALAL,Indian Subcontinent,0,
53,aloo gobi mutter,TARLA_DALAL,Indian Subcontinent,0,
54,aloo gol matol,TARLA_DALAL,Indian Subcontinent,0,
55,aloo hara masala,TARLA_DALAL,Indian Subcontinent,0,
56,aloo jeera gobi,TARLA_DALAL,Indian Subcontinent,0,
57,aloo ka bomb,TARLA_DALAL,Indian Subcontinent,0,
58,aloo khaas,TARLA_DALAL,Indian Subcontinent,0,
59,aloo ki puri,TARLA_DALAL,Indian Subcontinent,0,
60,aloo ki subji,TARLA_DALAL,Indian Subcontinent,0,
61,aloo ki tikki,TARLA_DALAL,Indian Subcontinent,0,
62,aloo kurkure,TARLA_DALAL,Indian Subcontinent,0,
63,aloo laajawaab,TARLA_DALAL,Indian Subcontinent,0,
64,aloo masala chaat,TARLA_DALAL,Indian Subcontinent,0,
65,aloo matter,TARLA_DALAL,Indian Subcontinent,0,
66,aloo mazedar,TARLA_DALAL,Indian Subcontinent,0,
67,aloo methi,TARLA_DALAL,Indian Subcontinent,0,
68,aloo mutter,TARLA_DALAL,Indian Subcontinent,0,
69,aloo mutter korma in white gravy,TARLA_DALAL,Indian Subcontinent,0,
70,aloo mutter moghlai,TARLA_DALAL,Indian Subcontinent,0,
71,aloo mutter tariwale,TARLA_DALAL,Indian Subcontinent,0,
72,aloo palak,TARLA_DALAL,Indian Subcontinent,0,
73,aloo palak roti,TARLA_DALAL,Indian Subcontinent,0,
74,aloo parantha,TARLA_DALAL,Indian Subcontinent,0,
75,aloo paratha,TARLA_DALAL,Indian Subcontinent,0,
76,aloo paratho,TARLA_DALAL,Indian Subcontinent,0,
77,aloo pethe ka saag,TARLA_DALAL,Indian Subcontinent,0,
78,aloo poshto,TARLA_DALAL,Indian Subcontinent,0,
79,aloo posto,TARLA_DALAL,Indian Subcontinent,0,
80,aloo roti roll,TARLA_DALAL,Indian Subcontinent,0,
81,aloo tikki,TARLA_DALAL,Indian Subcontinent,0,
82,aloo tikkis,TARLA_DALAL,Indian Subcontinent,0,
83,aloo tuk,TARLA_DALAL,Indian Subcontinent,0,
84,aloo-65,TARLA_DALAL,Indian Subcontinent,0,
85,aloomethi paratha,TARLA_DALAL,Indian Subcontinent,0,
86,aloowali roti,TARLA_DALAL,Indian Subcontinent,0,
87,alu bhat,TARLA_DALAL,Indian Subcontinent,0,
88,alu cheese parathas,TARLA_DALAL,Indian Subcontinent,0,
89,alu dum,TARLA_DALAL,Indian Subcontinent,0,
90,alu dumwala,TARLA_DALAL,Indian Subcontinent,0,
91,alu methi,TARLA_DALAL,Indian Subcontinent,0,
92,alu tikkies,TARLA_DALAL,Indian Subcontinent,0,
93,american chopsuey,TARLA_DALAL,Indian Subcontinent,0,
94,amiri khaman,TARLA_DALAL,Indian Subcontinent,0,
95,amlana,TARLA_DALAL,Indian Subcontinent,0,
96,amrit modak,TARLA_DALAL,Indian Subcontinent,0,
97,amritsari gobi mutter,TARLA_DALAL,Indian Subcontinent,0,
98,amritsari paneer fingers,TARLA_DALAL,Indian Subcontinent,0,
99,anardane te phudine ki chutney,TARLA_DALAL,Indian Subcontinent,0,
100,andhra mysore rasam,TARLA_DALAL,Indian Subcontinent,0,
101,andhra style okra fry,TARLA_DALAL,Indian Subcontinent,0,
102,angoor ka murabba,TARLA_DALAL,Indian Subcontinent,0,
103,angoor ka sherbat,TARLA_DALAL,Indian Subcontinent,0,
104,angoor ka sherbet,TARLA_DALAL,Indian Subcontinent,0,
105,angoori rabdi,TARLA_DALAL,Indian Subcontinent,0,
106,anjeer and dates barfi,TARLA_DALAL,Indian Subcontinent,0,
107,anjeer halwa,TARLA_DALAL,Indian Subcontinent,0,
108,appam,TARLA_DALAL,Indian Subcontinent,0,
109,apple and mint chutney,TARLA_DALAL,Indian Subcontinent,0,
110,apple halwa,TARLA_DALAL,Indian Subcontinent,0,
111,apple ka halwa,TARLA_DALAL,Indian Subcontinent,0,
112,apple kheer,TARLA_DALAL,Indian Subcontinent,0,
113,apple phirni,TARLA_DALAL,Indian Subcontinent,0,
114,apple sandesh,TARLA_DALAL,Indian Subcontinent,0,
115,arabic salad,TARLA_DALAL,Indian Subcontinent,0,
116,arbi in spicy gravy,TARLA_DALAL,Indian Subcontinent,0,
117,arbi ka saag,TARLA_DALAL,Indian Subcontinent,0,
118,arbi lajawab,TARLA_DALAL,Indian Subcontinent,0,
119,arbi masala,TARLA_DALAL,Indian Subcontinent,0,
120,arbi naveli,TARLA_DALAL,Indian Subcontinent,0,
121,arbi sarson,TARLA_DALAL,Indian Subcontinent,0,
122,arisi paruppu upma,TARLA_DALAL,Indian Subcontinent,0,
123,asparagus fondue,TARLA_DALAL,Indian Subcontinent,0,
124,asparagus rolls,TARLA_DALAL,Indian Subcontinent,0,
125,atta ka sheera,TARLA_DALAL,Indian Subcontinent,0,
126,atte ka malpua,TARLA_DALAL,Indian Subcontinent,0,
127,aubergine and paneer curry,TARLA_DALAL,Indian Subcontinent,0,
128,aubergine paratha,TARLA_DALAL,Indian Subcontinent,0,
129,aval payasam,TARLA_DALAL,Indian Subcontinent,0,
130,avocado dip,TARLA_DALAL,Indian Subcontinent,0,
131,avocado salad,TARLA_DALAL,Indian Subcontinent,0,
132,baby corn hara masala,TARLA_DALAL,Indian Subcontinent,0,
133,baby corn paneer jalfrazie,TARLA_DALAL,Indian Subcontinent,0,
134,baby mangoes in brine,TARLA_DALAL,Indian Subcontinent,0,
135,babycorn palak,TARLA_DALAL,Indian Subcontinent,0,
136,babycorn paneer masala,TARLA_DALAL,Indian Subcontinent,0,
137,badaam shorba,TARLA_DALAL,Indian Subcontinent,0,
138,badam halwa,TARLA_DALAL,Indian Subcontinent,0,
139,badam ka halwa,TARLA_DALAL,Indian Subcontinent,0,
140,badam ka sheera,TARLA_DALAL,Indian Subcontinent,0,
141,badam kheer,TARLA_DALAL,Indian Subcontinent,0,
142,badshahi khichdi,TARLA_DALAL,Indian Subcontinent,0,
143,badushah,TARLA_DALAL,Indian Subcontinent,0,
144,bafa dhoi,TARLA_DALAL,Indian Subcontinent,0,
145,bafla bati,TARLA_DALAL,Indian Subcontinent,0,
146,bagara baingan,TARLA_DALAL,Indian Subcontinent,0,
147,baghare baingan,TARLA_DALAL,Indian Subcontinent,0,
148,baigan bhurta,TARLA_DALAL,Indian Subcontinent,0,
149,baigan ka bharta,TARLA_DALAL,Indian Subcontinent,0,
150,baingan bhaat,TARLA_DALAL,Indian Subcontinent,0,
151,baingan bharta,TARLA_DALAL,Indian Subcontinent,0,
152,baingan mussalam,TARLA_DALAL,Indian Subcontinent,0,
153,baked brinjals,TARLA_DALAL,Indian Subcontinent,0,
154,baked chaklis,TARLA_DALAL,Indian Subcontinent,0,
155,baked cheese and mushroom paranthas,TARLA_DALAL,Indian Subcontinent,0,
156,baked coconut rice with curry,TARLA_DALAL,Indian Subcontinent,0,
157,baked dum gobi,TARLA_DALAL,Indian Subcontinent,0,
158,baked hare chane,TARLA_DALAL,Indian Subcontinent,0,
159,baked kand,TARLA_DALAL,Indian Subcontinent,0,
160,baked korma rice,TARLA_DALAL,Indian Subcontinent,0,
161,baked methi muthias,TARLA_DALAL,Indian Subcontinent,0,
162,baked papdi,TARLA_DALAL,Indian Subcontinent,0,
163,baked rasgullas,TARLA_DALAL,Indian Subcontinent,0,
164,baked ratatouille crï¿½ï¿½pes in white sauce,TARLA_DALAL,Indian Subcontinent,0,
165,baked tortilla chips,TARLA_DALAL,Indian Subcontinent,0,
166,banana and walnut starter,TARLA_DALAL,Indian Subcontinent,0,
167,banana bonda,TARLA_DALAL,Indian Subcontinent,0,
168,banana dosa,TARLA_DALAL,Indian Subcontinent,0,
169,banana gnochhi in saffron sauce,TARLA_DALAL,Indian Subcontinent,0,
170,banana lassi,TARLA_DALAL,Indian Subcontinent,0,
171,banana methi thepla,TARLA_DALAL,Indian Subcontinent,0,
172,banana pakoda,TARLA_DALAL,Indian Subcontinent,0,
173,banana pepper wafers,TARLA_DALAL,Indian Subcontinent,0,
174,banana samosa,TARLA_DALAL,Indian Subcontinent,0,
175,banana stem mourkootu,TARLA_DALAL,Indian Subcontinent,0,
176,banana vegetable,TARLA_DALAL,Indian Subcontinent,0,
177,bangla khichudi,TARLA_DALAL,Indian Subcontinent,0,
178,baraj,TARLA_DALAL,Indian Subcontinent,0,
179,basen nu shak,TARLA_DALAL,Indian Subcontinent,0,
180,basil and badam soup,TARLA_DALAL,Indian Subcontinent,0,
181,basil rava idli,TARLA_DALAL,Indian Subcontinent,0,
182,batata ani flower cha rassa,TARLA_DALAL,Indian Subcontinent,0,
183,batata chi bhaji,TARLA_DALAL,Indian Subcontinent,0,
184,batata chips nu shaak,TARLA_DALAL,Indian Subcontinent,0,
185,batata vada,TARLA_DALAL,Indian Subcontinent,0,
186,bateta nu shaak,TARLA_DALAL,Indian Subcontinent,0,
187,bean and pepper tortilla pizza,TARLA_DALAL,Indian Subcontinent,0,
188,bean sprout pakodas,TARLA_DALAL,Indian Subcontinent,0,
189,bean toastada,TARLA_DALAL,Indian Subcontinent,0,
190,beet root sabji,TARLA_DALAL,Indian Subcontinent,0,
191,beetroot chutney,TARLA_DALAL,Indian Subcontinent,0,
192,beetroot paneer paratha,TARLA_DALAL,Indian Subcontinent,0,
193,beetroot parathas,TARLA_DALAL,Indian Subcontinent,0,
194,beetroot rabdi,TARLA_DALAL,Indian Subcontinent,0,
195,beetroot raita,TARLA_DALAL,Indian Subcontinent,0,
196,beetroot rasam,TARLA_DALAL,Indian Subcontinent,0,
197,beetroot sambhar,TARLA_DALAL,Indian Subcontinent,0,
198,beetroot samosa,TARLA_DALAL,Indian Subcontinent,0,
199,beetrrot raita,TARLA_DALAL,Indian Subcontinent,0,
200,bemisal paneer,TARLA_DALAL,Indian Subcontinent,0,
201,bendhi masala,TARLA_DALAL,Indian Subcontinent,0,
202,bengali baingan bhurta,TARLA_DALAL,Indian Subcontinent,0,
203,bengali paneer laddoo,TARLA_DALAL,Indian Subcontinent,0,
204,bengali style okra,TARLA_DALAL,Indian Subcontinent,0,
205,bengali tomato chutney,TARLA_DALAL,Indian Subcontinent,0,
206,besan ke aloo,TARLA_DALAL,Indian Subcontinent,0,
207,besan paneer 65,TARLA_DALAL,Indian Subcontinent,0,
208,besan rotis,TARLA_DALAL,Indian Subcontinent,0,
209,besan sheera,TARLA_DALAL,Indian Subcontinent,0,
210,besan sooji idli,TARLA_DALAL,Indian Subcontinent,0,
211,besani bhindi,TARLA_DALAL,Indian Subcontinent,0,
212,bhaat na poodla,TARLA_DALAL,Indian Subcontinent,0,
213,bhaat na rasawala muthia,TARLA_DALAL,Indian Subcontinent,0,
214,bhakarwadi,TARLA_DALAL,Indian Subcontinent,0,
215,bhakri,TARLA_DALAL,Indian Subcontinent,0,
216,bhapa doi,TARLA_DALAL,Indian Subcontinent,0,
217,bhappa doi,TARLA_DALAL,Indian Subcontinent,0,
218,bharleli vaangi,TARLA_DALAL,Indian Subcontinent,0,
219,bharva kakdi ki subzi,TARLA_DALAL,Indian Subcontinent,0,
220,bharvan baingan,TARLA_DALAL,Indian Subcontinent,0,
221,bharvan simla mirch,TARLA_DALAL,Indian Subcontinent,0,
222,bharven karele amritsari,TARLA_DALAL,Indian Subcontinent,0,
223,bharwa aloo baingan,TARLA_DALAL,Indian Subcontinent,0,
224,bharwan aloo,TARLA_DALAL,Indian Subcontinent,0,
225,bharwan baingan,TARLA_DALAL,Indian Subcontinent,0,
226,bharwan bhindi,TARLA_DALAL,Indian Subcontinent,0,
227,bharwan paneer chilli pakoda,TARLA_DALAL,Indian Subcontinent,0,
228,bharwan tinde,TARLA_DALAL,Indian Subcontinent,0,
229,bhatura,TARLA_DALAL,Indian Subcontinent,0,
230,bhavanagari marcha,TARLA_DALAL,Indian Subcontinent,0,
231,bhavnagri chillies,TARLA_DALAL,Indian Subcontinent,0,
232,bhavnagri kachori,TARLA_DALAL,Indian Subcontinent,0,
233,bhedawi puri,TARLA_DALAL,Indian Subcontinent,0,
234,bhinda ni kadhi,TARLA_DALAL,Indian Subcontinent,0,
235,bhinda sambhariya,TARLA_DALAL,Indian Subcontinent,0,
236,bhindi bharvan,TARLA_DALAL,Indian Subcontinent,0,
237,bhindi do pyaza,TARLA_DALAL,Indian Subcontinent,0,
238,bhindi fry,TARLA_DALAL,Indian Subcontinent,0,
239,bhindi kali mirch,TARLA_DALAL,Indian Subcontinent,0,
240,bhindi mappas,TARLA_DALAL,Indian Subcontinent,0,
241,bhindi masala,TARLA_DALAL,Indian Subcontinent,0,
242,bhindi pakodas,TARLA_DALAL,Indian Subcontinent,0,
243,bhindi with mustard paste,TARLA_DALAL,Indian Subcontinent,0,
244,bhujia chaat,TARLA_DALAL,Indian Subcontinent,0,
245,bhujia toast,TARLA_DALAL,Indian Subcontinent,0,
246,bhutta sweet paratha,TARLA_DALAL,Indian Subcontinent,0,
247,bhutte ka paratha,TARLA_DALAL,Indian Subcontinent,0,
248,bikaneri bhujia,TARLA_DALAL,Indian Subcontinent,0,
249,bise bela bhath,TARLA_DALAL,Indian Subcontinent,0,
250,bisi bele bath,TARLA_DALAL,Indian Subcontinent,0,
251,bisi bele huli anna,TARLA_DALAL,Indian Subcontinent,0,
252,bittergourd pitlai,TARLA_DALAL,Indian Subcontinent,0,
253,black chole,TARLA_DALAL,Indian Subcontinent,0,
254,black eyed beans and paneer,TARLA_DALAL,Indian Subcontinent,0,
255,black pepper lemon tea,TARLA_DALAL,Indian Subcontinent,0,
256,bole,TARLA_DALAL,Indian Subcontinent,0,
257,boondi and pomegranate raita,TARLA_DALAL,Indian Subcontinent,0,
258,boondi laddu with jaggery,TARLA_DALAL,Indian Subcontinent,0,
259,bottle guard raita,TARLA_DALAL,Indian Subcontinent,0,
260,bread idli,TARLA_DALAL,Indian Subcontinent,0,
261,bread khaman,TARLA_DALAL,Indian Subcontinent,0,
262,bread kofta,TARLA_DALAL,Indian Subcontinent,0,
263,bread paratha,TARLA_DALAL,Indian Subcontinent,0,
264,bread tartlets,TARLA_DALAL,Indian Subcontinent,0,
265,bread tikki,TARLA_DALAL,Indian Subcontinent,0,
266,brinjal dal,TARLA_DALAL,Indian Subcontinent,0,
267,brinjal discs,TARLA_DALAL,Indian Subcontinent,0,
268,brinjal fry,TARLA_DALAL,Indian Subcontinent,0,
269,brinjal kotsu,TARLA_DALAL,Indian Subcontinent,0,
270,brinjal onion kofta pulao,TARLA_DALAL,Indian Subcontinent,0,
271,brinjal or eggplant fry,TARLA_DALAL,Indian Subcontinent,0,
272,brinjal rasavangy,TARLA_DALAL,Indian Subcontinent,0,
273,brinjal soup,TARLA_DALAL,Indian Subcontinent,0,
274,broad beans with methi,TARLA_DALAL,Indian Subcontinent,0,
275,broccoli and cheese parathas,TARLA_DALAL,Indian Subcontinent,0,
276,broccoli crepes with mexican green sauce,TARLA_DALAL,Indian Subcontinent,0,
277,broccoli kofta,TARLA_DALAL,Indian Subcontinent,0,
278,broccoli paruppu usili,TARLA_DALAL,Indian Subcontinent,0,
279,"broccoli, bell pepper and cheese quesadillas",TARLA_DALAL,Indian Subcontinent,0,
280,brocolli parathe,TARLA_DALAL,Indian Subcontinent,0,
281,brown rice kheer,TARLA_DALAL,Indian Subcontinent,0,
282,buckwheat dosa,TARLA_DALAL,Indian Subcontinent,0,
283,buckwheat paratha,TARLA_DALAL,Indian Subcontinent,0,
284,bulgur wheat and vegetable khichdi,TARLA_DALAL,Indian Subcontinent,0,
285,bund gobi aur matter,TARLA_DALAL,Indian Subcontinent,0,
286,bundi payas,TARLA_DALAL,Indian Subcontinent,0,
287,butter garlic naan,TARLA_DALAL,Indian Subcontinent,0,
288,butter milk khichdi,TARLA_DALAL,Indian Subcontinent,0,
289,butter milk rasam,TARLA_DALAL,Indian Subcontinent,0,
290,butter murukku,TARLA_DALAL,Indian Subcontinent,0,
291,butter palak paneer,TARLA_DALAL,Indian Subcontinent,0,
292,butter paneer masala,TARLA_DALAL,Indian Subcontinent,0,
293,butter paneer mattar,TARLA_DALAL,Indian Subcontinent,0,
